element,Atomic_number,Atomic_weight,Miedema_volume,Density,Group,Metal,Nonmetal,Mendeleev_number,Pcs,Electron_affinity,Atomic_radius,Ionic_radius,Teatum_metalic_radii,Van_der_waals_radii,Zunger_radii_sum,Metallic_valence,L_quantum_number,Number_of_valence_electrons,Gilmor_number_of_valence_electron,Valence_s,Valence_p,Valence_d,Valence_f,Number_of_unfilled_s_valence_electrons,Number_of_unfilled_p_valence_electrons,Number_of_unfilled_d_valence_electrons,Number_of_unfilled_f_valence_electrons,Outer_shell_electrons,Melting_point,Boiling_point,Fusion_enth,Vap_enth,Specific_heat_capacity,Thermal_conductivity,1st_ionization_potential,Pauling_Electronegativity,MB_electonegativity,Gordy_electonegativity,Mulliken_electonegativity,Allred_Rockow_electronegativity,Miedema_electronegativity,Miedema_electron_density
H,1,1.00794,1.7,0.0702,1,0,1,92,5,0.75,0.037,0,0.779,1.2,1.25,0,0,1,1,1,0,0,0,1,6,10,14,1,-259,-252,0.12,0.9,14300,0.1805,1312,2.2,2.1,7.1784,7.18,2.3,5.2,3.38
He,2,4.002602,,0.1474,18,0,1,98,0,,,,,1.43,0,0,0,0,0,0,0,0,0,2,6,10,14,0,-270,-269,,,5190,0.1513,2372,0,0,12.0486,0,4.16,,
Li,3,6.941,13,0.53,1,1,0,1,0.45,0.62,0.152,0.076,1.562,2.12,1.61,1,0,1,1,1,0,0,0,1,6,10,14,1,180,1330,3,134.7,3390,84.8,520,0.98,0.9,3.2223,3.01,0.912,2.85,0.94
Be,4,9.01218,4.9,1.85,2,1,0,67,1.5,0,0.111,0.045,1.128,1.98,1.08,2,0,2,2,2,0,0,0,0,6,10,14,2,1280,2477,7.9,308.8,1820,200,899,1.57,1.45,3.7942,4.9,1.576,5.05,4.66
B,5,10.811,4.7,2.34,13,0,0,72,2,0.28,0.08,0,0.92,1.91,0.795,3,1,3,3,2,1,0,0,0,5,10,14,3,2300,3930,50.2,480,1030,27.4,801,2.04,1.9,4.5951,4.29,2.051,5.3,5.36
C,6,12.011,3.26,2.25,14,0,1,77,2.5,1.26,0.077,0.016,0.876,1.77,0.64,4,1,4,4,2,2,0,0,0,4,10,14,4,3730,4830,117,711,711,140,1086,2.55,2.37,5.6246,6.27,2.544,6.24,5.55
N,7,14.00674,4.1,0.80877,15,0,1,82,3,0,0.074,0.016,0.825,1.66,0.54,3,1,5,5,2,3,0,0,0,3,10,14,5,-210,-196,0.71,5.57,1040,0.02583,1402,3.04,2.85,6.8834,7.3,3.066,6.86,4.49
O,8,15.9994,,1.159,16,0,1,87,3.5,,,,0.897,1.5,0.465,0,1,6,6,2,4,0,0,0,2,10,14,6,-218,-183,,,916,0.02658,1314,3.44,3.32,8.3703,7.54,3.61,,
F,9,18.998403,,1.1185,17,0,1,93,4,,,,,1.46,0.405,0,1,7,7,2,5,0,0,0,1,10,14,7,-220,-188,,,824,0.0277,1681,3.98,3.78,10.0854,10.41,4.193,,
Ne,10,20.1797,,1.2027,18,0,1,99,0.04,,,,,1.58,0,0,1,0,0,0,0,0,0,2,6,10,14,0,-249,-246,,,1030,0.0491,2081,0,0,12.0317,0,4.789,,
Na,11,22.989768,23.78,0.97,1,1,0,2,0.4,0.55,0.186,0.102,1.911,2.5,2.65,1,0,1,1,1,0,0,0,1,6,10,14,1,97.8,890,2.6,98.01,1230,142,496,0.93,0.89,2.5378,2.85,0.869,2.7,0.55
Mg,12,24.305,14,1.74,2,1,0,68,1.28,0,0.16,0.072,1.602,2.51,2.03,2,0,2,2,2,0,0,0,0,6,10,14,2,650,1110,8.48,128.7,1030,156,738,1.31,1.31,2.9745,3.75,1.293,3.45,1.6
Al,13,26.981539,10,2.7,13,1,0,73,1.66,0.44,0.143,0.054,1.432,2.25,1.675,3,1,3,3,2,1,0,0,0,5,10,14,3,660,2470,10.71,294,900,237,578,1.61,1.64,3.5237,3.23,1.613,4.2,2.7
Si,14,28.0855,8.6,2.33,14,0,1,78,1.94,1.39,0.118,0.04,1.322,2.19,1.42,4,1,4,4,2,2,0,0,0,4,10,14,4,1410,2360,50.21,383,711,149,786,1.9,1.98,4.1852,4.77,1.916,4.7,3.38
P,15,30.973762,8.6,1.82,15,0,1,83,2.18,0.75,0.11,0.017,1.241,1.9,1.24,3,1,5,5,2,3,0,0,0,3,10,14,5,44.2,280,0.66,12.4,757,0.23617,1012,2.19,2.32,4.9591,5.62,2.253,5.55,4.49
S,16,32.066,,2.07,16,0,1,88,2.44,,,,1.25,1.89,1.1,2,1,6,6,2,4,0,0,0,2,10,14,6,113,445,,,732,0.205,1000,2.58,2.65,5.8458,6.22,2.589,,
Cl,17,35.4527,,1.56238,17,0,1,94,2.7,,,,,1.82,1.01,0,1,7,7,2,5,0,0,0,1,10,14,7,-101,-34.7,,,477,0.0089,1251,3.16,2.98,6.8446,8.3,2.869,,
Ar,18,39.948,,1.4087,18,0,1,100,,,,,,1.83,0,0,1,0,0,0,0,0,0,2,6,10,14,0,-189,-186,,,519,0.01772,1521,0,0,7.9552,0,3.242,,
K,19,39.0983,45.63,0.86,1,1,0,3,0.35,0.5,0.227,0.151,2.376,2.73,3.69,1,0,1,1,1,0,0,0,1,6,10,14,1,63.7,774,2.33,77.5,753,102.5,419,0.82,0.8,2.7882,2.42,0.734,2.25,0.27
